MES,Periodo Analisis,M1,M2,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP12,CP13,CP16,CP19,HRD1,HRD2,Target,CP14,CP27,CP38,CP49,CP510,CP611,CP712,CP813,CP9,CP10,CP18,CP1914,CP20,CP21,CP22,CP23,CP24,CP25,CP26,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22
Feb-21,3,99.66,0.34,66.158,0.409,0.008,2.675,0.020,1.020,0.626,0.549,0.235,0.322,92.800,6.506,4.19,94.89,20.6,1623.81,376.33,914.20,1054.94,171.01,94.94,265.95,0.378,102.505,4.118,94.762,0.750,1.050,3.145,0.198,0.027,0.009,0.024,1026.011,10%,0%,0%,0%,0%,0%,14%,36%,0%,0%,0%,40%,0%,51%,0%,0%,0%,0%,28%,21%,0%,0%
Ene-19,2,45.24,54.76,67.183,0.307,0.003,2.039,0.010,0.630,0.674,0.478,0.340,0.449,89.208,7.545,3.90,94.79,20.7,1661.66,390.61,907.30,1085.39,176.66,92.49,269.14,0.375,103.577,4.220,94.863,0.260,1.030,3.747,0.075,0.003,0.000,0.000,1031.836,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,51%,0%,15%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Sep-20,3,84.46,15.54,66.465,0.405,0.005,2.480,0.010,0.979,0.718,0.594,0.291,0.385,91.484,6.378,3.94,94.26,20.9,1680.45,360.69,909.84,1085.98,180.78,91.84,272.62,0.419,102.160,3.986,95.303,0.758,0.698,3.055,0.138,0.013,0.000,0.007,1026.515,28%,0%,0%,0%,0%,0%,56%,0%,10%,0%,7%,0%,0%,55%,0%,0%,0%,0%,24%,21%,0%,0%
Jun-20,3,47.23,52.77,66.062,0.279,0.005,2.809,0.013,1.013,0.845,0.562,0.308,0.386,89.539,6.572,3.90,94.94,21.3,1687.22,387.63,907.76,1084.02,166.08,94.09,260.17,0.389,102.019,3.995,95.646,0.561,0.931,2.686,0.118,0.012,0.000,0.002,1022.522,21%,0%,0%,0%,0%,0%,16%,0%,47%,0%,13%,0%,2%,70%,0%,0%,0%,0%,8%,22%,0%,0%
May-20,2,84.15,15.85,66.698,0.229,0.004,2.167,0.012,0.832,0.710,0.583,0.335,0.444,89.133,6.672,4.04,94.95,21.8,1633.97,392.96,908.81,1084.73,166.28,94.08,260.36,0.390,105.111,4.144,95.079,0.571,0.805,3.359,0.142,0.014,0.001,0.003,1029.545,26%,0%,0%,0%,0%,0%,34%,0%,30%,0%,10%,0%,0%,69%,0%,0%,0%,0%,0%,31%,0%,0%
Mar-21,3,91.32,8.68,66.168,0.414,0.007,2.648,0.022,1.041,0.715,0.707,0.269,0.561,90.313,6.556,3.96,94.63,24.0,1635.61,376.84,913.55,1051.57,173.66,95.66,269.31,0.382,102.791,3.986,94.992,0.824,0.960,2.984,0.158,0.024,0.004,0.022,1023.983,6%,0%,0%,0%,0%,0%,3%,1%,0%,0%,0%,89%,0%,51%,0%,0%,0%,0%,19%,30%,0%,0%
Ago-21,3,40.33,59.67,65.574,0.388,0.004,3.140,0.017,1.165,0.866,0.601,0.280,3.949,87.472,6.639,4.08,94.08,24.0,1648.25,371.11,913.99,1112.47,179.24,95.80,275.04,0.390,100.512,4.084,95.061,1.140,0.763,2.754,0.194,0.029,0.010,0.003,1021.653,10%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,87%,0%,23%,0%,0%,0%,0%,31%,46%,0%,0%
Jul-20,3,43.87,56.13,66.138,0.291,0.004,2.789,0.012,0.986,0.845,0.544,0.307,0.382,89.044,6.402,4.02,94.75,24.3,1681.09,390.29,903.42,1085.92,180.07,92.83,272.89,0.412,100.994,4.132,95.895,0.603,0.808,2.520,0.123,0.015,0.000,0.005,1022.625,22%,0%,0%,0%,0%,0%,37%,0%,26%,0%,15%,0%,0%,47%,0%,0%,0%,0%,42%,10%,0%,0%
Jul-21,3,50.03,49.97,65.734,0.391,0.004,2.993,0.017,1.133,0.831,0.620,0.283,3.377,87.141,6.725,4.07,93.80,24.6,1627.66,349.77,914.28,1143.51,176.01,95.55,271.56,0.386,102.153,4.083,95.167,1.169,0.704,2.727,0.161,0.019,0.008,0.003,1020.887,14%,0%,0%,0%,0%,0%,4%,0%,16%,3%,0%,63%,0%,21%,0%,0%,0%,0%,53%,27%,0%,0%
May-21,3,99.14,0.86,66.355,0.361,0.004,2.413,0.023,1.005,0.704,0.717,0.293,0.451,90.482,6.587,4.33,95.18,25.6,1581.50,385.14,912.76,1041.88,179.08,95.55,274.63,0.404,104.680,4.011,95.367,1.016,0.825,2.547,0.163,0.023,0.009,0.004,1020.184,15%,0%,0%,0%,0%,0%,9%,0%,0%,29%,4%,43%,0%,34%,0%,0%,0%,0%,37%,28%,0%,0%
Abr-21,3,86.31,13.69,66.185,0.350,0.003,2.554,0.022,1.007,0.750,0.675,0.295,0.816,90.376,6.512,4.09,94.39,26.1,1642.11,377.46,912.15,1066.37,177.44,95.67,273.10,0.393,102.300,3.932,95.373,0.898,1.007,2.447,0.166,0.027,0.013,0.026,1019.480,12%,0%,0%,0%,0%,0%,1%,3%,0%,29%,6%,49%,0%,49%,0%,0%,0%,0%,16%,34%,0%,0%
Jun-21,3,72.60,27.40,66.059,0.342,0.003,2.671,0.019,1.038,0.756,0.700,0.287,1.787,81.597,6.471,4.14,94.24,28.2,1629.61,364.25,912.44,1048.48,180.62,94.98,275.60,0.410,99.232,4.148,95.170,1.105,0.833,2.640,0.166,0.023,0.010,0.004,1020.103,14%,0%,0%,0%,0%,0%,2%,0%,0%,27%,0%,57%,0%,24%,0%,0%,0%,0%,45%,32%,0%,0%
