MES,Periodo Analisis,M1,M2,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP12,CP13,CP16,CP19,HRD1,HRD2,Target,CP14,CP27,CP38,CP49,CP510,CP611,CP712,CP813,CP9,CP10,CP18,CP1914,CP20,CP21,CP22,CP23,CP24,CP25,CP26,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22
Oct-16,2,58.52,41.48,66.664,0.424,0.004,2.436,0.020,0.737,0.745,0.525,0.317,0.420,89.058,6.701,3.78,94.85,13.7,1661.56,388.15,912.06,1080.87,172.30,89.80,262.10,0.391,101.626,4.151,95.088,0.253,0.914,3.596,0.101,0.015,0.000,0.005,1032.961,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,79%,0%,9%,42%,0%,0%,58%,0%,0%,0%,0%,0%
Jul-13,1,28.88,71.12,66.760,0.385,0.004,2.519,0.018,0.762,0.611,0.460,0.243,0.325,90.087,6.091,3.78,93.64,13.9,1591.57,373.83,911.90,1117.77,159.38,85.19,244.57,0.401,102.200,4.507,93.688,0.221,1.144,4.898,0.029,0.003,0.001,0.003,1039.089,0%,0%,75%,0%,16%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,49%,18%,15%,0%,0%,17%,0%
Dic-13,1,32.27,67.73,66.708,0.350,0.003,2.567,0.017,0.778,0.588,0.462,0.227,0.312,89.473,6.355,3.71,93.92,14.0,1661.61,370.11,913.05,1117.75,159.56,85.13,244.68,0.373,101.345,4.350,93.712,0.227,1.144,4.849,0.044,0.005,0.000,0.003,1039.010,0%,19%,43%,0%,0%,0%,0%,38%,0%,0%,0%,0%,0%,0%,0%,41%,22%,0%,0%,0%,37%,0%
Nov-13,1,35.68,64.32,66.758,0.392,0.003,2.560,0.014,0.755,0.539,0.491,0.211,0.311,89.803,6.320,3.79,93.74,14.1,1641.31,366.72,912.41,1116.81,160.31,84.92,245.24,0.387,101.578,4.509,93.601,0.227,1.150,4.974,0.033,0.003,0.000,0.001,1039.470,0%,26%,60%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,59%,13%,15%,0%,0%,13%,0%
Ene-16,1,59.70,40.30,66.504,0.462,0.004,2.536,0.018,0.854,0.762,0.583,0.300,0.398,89.653,6.796,3.73,94.37,14.1,1677.62,402.91,915.17,1082.80,166.56,92.18,258.74,0.402,99.646,4.450,94.912,0.193,0.996,3.755,0.097,0.013,0.000,0.005,1033.857,0%,20%,9%,0%,0%,0%,10%,0%,0%,0%,56%,0%,5%,3%,0%,0%,97%,0%,0%,0%,0%,0%
Feb-14,1,20.00,80.00,66.524,0.404,0.004,2.555,0.019,0.862,0.700,0.513,0.271,0.355,89.265,6.413,3.74,93.85,14.2,1701.64,370.66,912.95,1117.42,162.73,85.15,247.88,0.390,99.208,4.435,93.646,0.236,1.147,4.946,0.020,0.001,0.000,0.000,1038.728,0%,20%,37%,0%,0%,0%,0%,39%,0%,0%,0%,0%,3%,0%,0%,38%,8%,0%,0%,0%,53%,0%
Dic-17,2,41.68,58.32,66.401,0.350,0.003,2.371,0.012,0.799,0.659,0.493,0.285,0.374,89.064,6.702,3.90,94.75,14.2,1688.40,374.58,907.19,1038.99,182.93,91.87,274.79,0.373,100.987,4.532,94.474,0.231,1.084,4.123,0.066,0.000,0.000,0.000,1034.103,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,0%,0%,79%,0%,0%,17%,0%,0%,0%,0%,4%
Nov-15,1,61.14,38.86,66.397,0.368,0.003,2.605,0.019,0.910,0.775,0.527,0.298,0.374,91.300,6.663,3.82,94.41,14.3,1690.45,400.02,913.35,1078.19,168.70,92.49,261.20,0.398,98.872,4.575,95.104,0.202,0.887,3.618,0.110,0.017,0.000,0.010,1034.057,0%,29%,9%,0%,0%,1%,14%,0%,0%,0%,44%,0%,3%,0%,0%,0%,100%,0%,0%,0%,0%,0%
Ago-12,1,20.00,80.00,66.153,0.450,0.004,2.803,0.014,0.978,0.751,0.586,0.267,0.356,90.235,7.460,3.94,94.34,14.4,1641.17,368.44,909.28,1115.23,167.91,85.14,253.04,0.397,101.629,4.698,93.834,0.233,1.189,4.625,0.091,0.012,0.003,0.013,1037.977,0%,0%,90%,1%,6%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,24%,0%,60%,0%,0%,17%,0%
Jul-12,1,20.00,80.00,66.310,0.425,0.004,2.681,0.017,0.939,0.705,0.572,0.262,0.354,91.384,7.610,3.88,94.22,14.4,1648.32,368.96,908.71,1113.21,170.19,84.45,254.64,0.401,101.125,4.769,94.047,0.227,1.256,4.193,0.181,0.029,0.009,0.027,1037.131,0%,0%,93%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,26%,0%,67%,0%,0%,7%,0%
Dic-14,1,47.36,52.64,66.730,0.365,0.002,2.500,0.015,0.827,0.615,0.410,0.246,0.309,90.088,6.484,3.49,95.10,14.4,1631.71,382.11,916.41,1085.39,157.29,90.14,247.43,0.377,104.035,4.312,94.172,0.209,1.084,4.455,0.060,0.004,0.000,0.001,1036.862,0%,6%,4%,0%,0%,44%,0%,46%,0%,0%,0%,0%,0%,0%,0%,0%,69%,0%,0%,0%,31%,0%
Ene-15,1,42.30,57.70,66.878,0.367,0.003,2.365,0.014,0.778,0.618,0.404,0.261,0.326,90.866,6.493,3.71,95.10,14.7,1607.94,384.47,915.92,1084.82,155.20,90.43,245.63,0.384,102.956,4.347,93.700,0.193,0.972,4.979,0.081,0.008,0.002,0.009,1043.675,0%,13%,55%,0%,0%,21%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,56%,0%,0%,0%,44%,0%
Jun-14,1,30.32,69.68,66.600,0.446,0.003,2.477,0.019,0.837,0.727,0.487,0.291,0.364,89.493,6.746,3.52,95.40,14.7,1587.72,369.54,914.75,1086.29,156.14,85.06,241.20,0.385,105.976,4.160,93.860,0.233,1.157,4.726,0.010,0.000,0.000,0.000,1037.042,0%,22%,13%,0%,0%,0%,0%,66%,0%,0%,0%,0%,0%,0%,0%,0%,59%,0%,0%,0%,41%,0%
Oct-12,1,20.00,80.00,66.475,0.387,0.003,2.537,0.019,0.847,0.684,0.585,0.267,0.375,90.315,6.930,4.06,94.04,14.7,1665.47,364.02,907.92,1118.78,171.63,85.15,256.78,0.371,100.193,4.614,93.425,0.159,1.627,3.063,0.899,0.250,0.096,0.200,1057.058,0%,0%,91%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,0%,48%,0%,0%,6%,0%
Nov-16,2,59.51,40.49,66.479,0.355,0.003,2.556,0.020,0.762,0.822,0.548,0.333,0.433,88.911,6.951,3.82,94.79,14.8,1692.72,397.52,915.10,1081.46,173.86,89.93,263.79,0.401,100.855,4.162,86.119,0.273,0.726,2.720,0.110,0.017,0.000,0.008,1029.761,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,77%,0%,12%,46%,0%,0%,53%,0%,0%,0%,0%,0%
Feb-15,1,40.00,60.00,66.822,0.425,0.003,2.413,0.013,0.776,0.652,0.418,0.270,0.336,90.434,6.626,3.46,94.52,14.9,1609.00,386.24,913.09,1082.41,157.94,94.57,252.51,0.387,103.785,4.579,94.459,0.201,1.071,4.082,0.118,0.019,0.001,0.017,1036.520,0%,12%,31%,0%,0%,27%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,69%,0%,0%,0%,31%,0%
Sep-14,1,30.00,70.00,66.745,0.384,0.003,2.483,0.019,0.761,0.605,0.497,0.243,0.343,88.881,6.664,3.82,94.63,15.0,1647.28,351.07,911.67,1117.59,159.85,85.11,244.95,0.382,100.173,4.651,93.718,0.233,1.161,4.862,0.018,0.000,0.000,0.000,1038.022,0%,3%,32%,0%,0%,1%,0%,64%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,40%,0%
Dic-15,1,59.20,40.80,66.522,0.422,0.004,2.513,0.018,0.863,0.747,0.526,0.298,0.380,90.816,6.850,3.66,94.17,15.0,1680.77,406.49,914.38,1079.50,165.21,92.07,257.28,0.401,98.935,4.541,95.344,0.189,0.937,3.385,0.093,0.017,0.001,0.021,1031.830,0%,26%,0%,0%,0%,1%,15%,0%,0%,0%,54%,0%,4%,0%,0%,0%,100%,0%,0%,0%,0%,0%
Feb-16,1,59.71,40.29,66.602,0.403,0.003,2.394,0.020,0.839,0.755,0.546,0.317,0.409,90.558,6.774,3.77,94.77,15.1,1679.31,403.62,913.74,1083.25,169.31,92.52,261.83,0.402,98.018,4.466,95.009,0.220,0.974,3.674,0.084,0.012,0.000,0.011,1032.855,0%,10%,20%,0%,0%,0%,18%,0%,0%,0%,42%,0%,9%,4%,0%,0%,95%,0%,0%,0%,0%,1%
Jul-16,1,66.71,33.29,66.482,0.491,0.004,2.550,0.020,0.889,0.787,0.509,0.313,0.388,89.489,6.907,3.82,95.15,15.1,1632.87,396.11,913.94,1082.05,170.84,91.79,262.63,0.402,101.140,4.212,95.209,0.218,0.913,3.484,0.131,0.012,0.000,0.006,1032.845,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,90%,0%,9%,39%,0%,0%,61%,0%,0%,0%,0%,0%
Mar-20,2,87.34,12.66,66.612,0.287,0.004,2.398,0.008,0.716,0.769,0.522,0.321,0.422,88.993,6.125,3.77,94.84,15.1,1679.19,401.44,908.52,562.59,174.31,94.61,268.92,0.406,100.642,3.969,94.605,0.568,0.910,3.720,0.142,0.017,0.000,0.011,1031.638,15%,0%,0%,0%,0%,0%,70%,0%,0%,0%,15%,0%,0%,64%,0%,0%,0%,0%,11%,18%,0%,7%
Nov-17,2,49.02,50.98,66.556,0.350,0.003,2.310,0.012,0.799,0.675,0.522,0.296,0.394,90.374,7.074,3.90,94.49,15.2,1703.85,382.40,903.71,1040.55,188.12,92.30,280.42,0.368,101.097,4.461,93.972,0.223,1.163,4.567,0.064,0.001,0.000,0.000,1036.618,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,11%,66%,0%,0%,34%,0%,0%,0%,0%,0%
Dic-16,2,60.87,39.13,66.529,0.307,0.004,2.490,0.019,0.769,0.777,0.550,0.328,0.429,88.983,6.994,3.83,94.86,15.2,1732.18,404.52,913.35,1082.07,177.71,91.79,269.51,0.398,99.778,4.087,95.138,0.220,0.924,3.557,0.115,0.016,0.000,0.004,1033.090,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,83%,0%,11%,47%,0%,0%,53%,0%,0%,0%,0%,0%
Mar-15,1,35.29,64.71,66.779,0.332,0.003,2.415,0.013,0.780,0.690,0.439,0.285,0.354,91.178,6.627,3.52,94.40,15.2,1628.26,389.12,915.18,1076.64,157.45,91.64,249.09,0.381,101.554,4.613,94.833,0.191,1.019,3.747,0.134,0.024,0.002,0.020,1035.081,0%,4%,41%,0%,0%,41%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,69%,0%,0%,0%,31%,0%
Ago-13,1,30.00,70.00,66.577,0.428,0.003,2.592,0.017,0.821,0.659,0.494,0.254,0.337,89.988,6.051,3.71,93.26,15.3,1680.55,383.35,912.02,1117.65,161.89,85.09,246.98,0.411,96.240,4.822,93.854,0.214,1.175,4.497,0.069,0.007,0.001,0.007,1038.007,0%,12%,85%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,42%,10%,5%,0%,0%,43%,0%
Oct-21,3,10.800,89.20,65.431,0.416,0.005,3.278,0.018,1.155,1.017,0.523,0.310,0.351,89.487,6.384,4.14,94.45,15.6,1655.11,361.36,914.30,1109.51,177.68,95.04,272.71,0.393,98.532,3.964,95.169,1.196,0.795,2.612,0.149,0.021,0.009,0.003,1018.848,10%,0%,0%,0%,0%,0%,0%,4%,1%,0%,0%,85%,0%,30%,0%,0%,0%,0%,23%,47%,0%,0%
Jun-19,2,49.80,50.20,65.321,0.325,0.004,3.404,0.016,1.226,1.020,0.578,0.300,0.345,89.530,6.267,4.04,95.37,15.7,1664.48,399.25,906.27,1094.97,173.72,92.00,265.72,0.385,101.762,4.235,95.340,0.288,0.747,3.462,0.120,0.012,0.000,0.002,1033.407,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,98%,0%,0%,97%,3%,0%,0%,0%,0%,0%,0%,0%
Oct-20,3,62.00,38.00,66.110,0.416,0.005,2.779,0.011,1.043,0.775,0.548,0.282,0.356,90.742,6.238,3.75,93.96,15.7,1700.52,390.04,908.75,1087.07,173.69,94.13,267.83,0.415,100.677,3.865,95.229,0.927,0.841,2.768,0.165,0.021,0.001,0.018,1022.187,38%,0%,0%,0%,0%,0%,26%,25%,9%,0%,2%,0%,0%,49%,0%,0%,0%,0%,37%,14%,0%,0%
Ago-18,2,45.11,54.89,66.674,0.310,0.003,2.376,0.014,0.815,0.834,0.457,0.360,0.432,88.105,6.904,3.89,94.90,15.8,1662.32,389.94,907.87,1087.20,186.70,92.71,279.41,0.370,101.706,4.481,94.344,0.229,1.125,4.210,0.133,0.004,0.000,0.001,1035.613,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,58%,0%,25%,95%,0%,0%,5%,0%,0%,0%,0%,0%
May-15,1,30.00,70.00,66.677,0.336,0.003,2.413,0.012,0.874,0.727,0.426,0.302,0.353,91.063,6.436,3.66,94.39,15.8,1645.86,390.78,913.64,1088.95,163.56,93.43,256.99,0.368,102.269,4.430,94.847,0.165,1.158,3.582,0.157,0.029,0.009,0.006,1033.508,0%,7%,29%,0%,0%,27%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,57%,0%,0%,0%,43%,0%
Sep-13,1,30.00,70.00,66.547,0.388,0.004,2.631,0.016,0.811,0.660,0.517,0.248,0.340,89.669,6.224,3.74,93.17,16.0,1645.21,350.97,911.40,1116.20,158.85,84.62,243.48,0.403,100.094,4.669,94.167,0.212,1.220,4.156,0.117,0.025,0.007,0.030,1036.255,0%,15%,76%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,57%,8%,2%,0%,0%,33%,0%
Sep-19,2,61.93,38.07,65.820,0.309,0.004,3.053,0.013,1.077,0.912,0.529,0.301,0.358,88.841,6.314,3.80,94.30,16.0,1618.73,374.34,906.77,1089.32,172.99,90.48,263.47,0.416,104.831,4.120,95.001,0.502,0.726,3.603,0.127,0.011,0.000,0.004,1032.618,9%,0%,0%,0%,0%,0%,1%,0%,0%,0%,74%,0%,16%,96%,0%,0%,0%,0%,2%,2%,0%,0%
Dic-21,3,4.380,95.62,65.099,0.529,0.004,3.588,0.016,1.248,1.086,0.545,0.304,0.340,88.218,6.618,3.87,94.46,16.2,1685.97,377.48,913.82,1071.88,181.57,94.99,276.56,0.411,95.765,3.916,95.512,1.242,0.758,2.283,0.136,0.021,0.008,0.002,1015.602,11%,0%,0%,0%,0%,0%,2%,10%,0%,66%,0%,12%,0%,23%,0%,0%,0%,0%,61%,16%,0%,0%
Ene-21,3,92.75,7.25,66.656,0.437,0.007,2.472,0.017,0.916,0.640,0.405,0.259,0.307,92.782,7.156,4.01,94.86,16.2,1662.67,382.06,913.97,1059.36,174.24,95.73,269.97,0.382,104.666,4.048,95.007,1.084,0.824,2.857,0.150,0.022,0.003,0.020,1021.434,16%,0%,0%,0%,0%,0%,25%,39%,0%,0%,3%,17%,0%,51%,0%,0%,0%,0%,40%,8%,0%,0%
Abr-15,1,30.00,70.00,66.834,0.326,0.003,2.284,0.012,0.847,0.684,0.411,0.300,0.352,91.201,6.595,3.68,94.61,16.4,1631.82,392.36,914.98,1078.07,156.62,93.20,249.81,0.379,101.106,4.454,95.119,0.178,1.038,3.371,0.186,0.034,0.009,0.029,1033.938,0%,4%,3%,0%,0%,52%,42%,0%,0%,0%,0%,0%,0%,0%,0%,0%,63%,0%,0%,0%,37%,0%
Dic-20,3,79.09,20.91,66.171,0.537,0.007,2.763,0.013,1.021,0.766,0.519,0.275,0.350,92.161,6.559,4.05,94.37,16.4,1686.36,393.08,912.95,1073.03,174.30,95.85,270.15,0.387,103.189,3.922,94.749,0.926,0.869,3.205,0.164,0.025,0.007,0.023,1025.787,29%,0%,0%,0%,0%,0%,22%,43%,0%,0%,6%,0%,0%,59%,0%,0%,0%,0%,39%,2%,0%,0%
Ago-19,2,56.95,43.05,66.104,0.277,0.005,2.771,0.013,1.001,0.837,0.563,0.309,0.389,89.568,6.574,3.88,94.24,16.5,1575.01,389.39,905.20,1081.35,169.46,88.09,257.54,0.427,105.058,4.164,94.854,0.390,0.757,3.815,0.142,0.013,0.000,0.006,1035.362,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,79%,0%,14%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Nov-18,2,61.36,38.64,66.472,0.261,0.004,2.545,0.012,0.848,0.783,0.531,0.326,0.416,90.248,6.976,3.88,94.38,16.5,1658.58,393.14,907.91,1083.29,180.99,92.15,273.15,0.378,103.161,4.235,95.220,0.267,1.011,3.368,0.126,0.010,0.000,0.000,1029.655,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28%,0%,45%,93%,7%,0%,0%,0%,0%,0%,0%,0%
Feb-13,1,20.00,80.00,66.373,0.329,0.004,2.744,0.019,0.888,0.674,0.529,0.245,0.330,91.322,6.582,3.96,94.46,16.5,1627.84,374.21,907.05,1109.50,168.07,84.17,252.24,0.395,101.444,4.698,93.581,0.222,1.175,4.974,0.029,0.001,0.001,0.000,1039.351,0%,0%,80%,0%,13%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,42%,0%,38%,0%,0%,20%,0%
Ene-18,2,49.73,50.27,66.435,0.350,0.003,2.388,0.011,0.644,0.644,0.427,0.279,0.372,89.295,7.113,3.83,94.44,16.6,1703.94,384.51,901.48,1022.53,185.57,92.25,277.82,0.375,100.000,4.600,94.936,0.231,1.004,3.714,0.084,0.008,0.000,0.001,1032.434,27%,0%,0%,0%,0%,5%,0%,0%,0%,0%,63%,0%,5%,87%,0%,0%,11%,0%,0%,0%,0%,2%
May-19,2,71.83,28.17,65.063,0.338,0.005,3.626,0.017,1.222,1.125,0.587,0.311,0.353,89.228,6.494,3.99,94.63,16.7,1659.84,402.90,907.15,1041.06,172.44,91.09,263.53,0.428,101.573,4.027,95.614,0.329,0.871,3.025,0.118,0.013,0.000,0.001,1028.348,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Oct-13,1,39.70,60.30,66.408,0.482,0.004,2.693,0.018,0.887,0.678,0.529,0.247,0.336,88.139,6.144,3.86,93.92,16.8,1637.82,360.01,912.56,1117.49,164.34,85.12,249.47,0.388,102.577,4.446,93.754,0.215,1.201,4.743,0.053,0.008,0.000,0.007,1038.230,0%,33%,62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,56%,8%,12%,0%,0%,24%,0%
Jun-17,2,61.82,38.18,66.676,0.263,0.003,2.351,0.015,0.775,0.777,0.540,0.346,0.451,89.164,7.151,3.95,95.00,17.0,1660.12,392.98,908.00,1048.07,182.33,91.83,274.16,0.376,101.018,3.986,93.841,0.219,1.175,4.690,0.067,0.000,0.000,0.000,1037.435,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,72%,0%,10%,62%,0%,0%,38%,0%,0%,0%,0%,0%
Mar-17,2,63.06,36.94,66.680,0.353,0.003,2.448,0.017,0.726,0.783,0.485,0.318,0.407,91.840,7.134,3.79,95.03,17.0,1693.10,401.62,900.25,996.68,181.09,90.40,271.50,0.410,102.724,4.001,94.884,0.254,0.989,3.757,0.103,0.010,0.000,0.000,1032.748,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,82%,0%,12%,45%,0%,0%,29%,0%,18%,0%,0%,8%
May-17,2,53.00,47.00,66.593,0.367,0.004,2.406,0.017,0.788,0.796,0.513,0.341,0.431,89.399,7.005,3.96,94.62,17.1,1717.79,399.93,896.30,1033.66,180.80,92.66,273.46,0.398,99.943,4.041,94.323,0.240,1.076,4.275,0.082,0.003,0.000,0.000,1035.360,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,75%,0%,15%,57%,0%,0%,39%,0%,4%,0%,0%,0%
Dic-18,2,63.13,36.87,66.811,0.277,0.003,2.343,0.011,0.747,0.714,0.482,0.323,0.417,89.185,7.174,3.80,94.54,17.2,1672.79,394.43,907.49,1084.36,177.86,93.68,271.53,0.372,104.686,4.268,94.546,0.234,1.019,4.093,0.086,0.005,0.000,0.000,1034.838,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,37%,0%,41%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Sep-12,1,20.00,80.00,66.337,0.427,0.004,2.590,0.017,0.918,0.771,0.571,0.296,0.383,89.625,7.529,4.02,93.96,17.3,1672.86,368.03,907.50,1122.97,171.89,84.98,256.87,0.379,99.257,4.608,93.729,0.195,1.411,3.902,0.405,0.102,0.039,0.099,1045.077,0%,0%,84%,15%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,24%,0%,45%,0%,0%,30%,0%
Sep-16,2,39.69,60.31,66.803,0.507,0.004,2.381,0.021,0.728,0.705,0.472,0.308,0.404,90.068,7.003,3.84,94.36,17.3,1648.46,380.76,911.32,1080.31,177.77,89.70,267.47,0.401,101.134,4.159,93.843,0.263,1.099,4.632,0.125,0.012,0.000,0.003,1039.078,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,83%,0%,12%,57%,0%,0%,42%,0%,0%,0%,1%,0%
Nov-21,3,8.770,91.23,65.050,0.572,0.005,3.558,0.016,1.237,1.148,0.569,0.325,0.363,88.935,6.465,3.90,94.46,17.3,1673.01,373.54,914.58,1102.18,180.61,95.16,275.77,0.403,97.589,3.974,95.562,1.152,0.832,2.230,0.147,0.023,0.009,0.003,1015.777,15%,0%,0%,0%,0%,0%,21%,38%,0%,0%,0%,26%,0%,25%,0%,0%,0%,0%,54%,21%,0%,0%
Feb-18,2,54.04,45.96,66.681,0.350,0.003,2.347,0.010,0.831,0.696,0.521,0.298,0.392,89.210,7.089,3.91,94.73,17.3,1723.10,386.86,902.99,1018.43,184.75,92.02,276.78,0.378,97.267,4.515,94.737,0.230,1.030,3.905,0.076,0.004,0.000,0.000,1033.258,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,86%,0%,9%,73%,0%,0%,26%,0%,0%,0%,0%,1%
Abr-17,2,59.64,40.36,66.751,0.357,0.003,2.374,0.017,0.753,0.716,0.462,0.310,0.399,89.481,6.926,3.83,94.81,17.4,1681.44,399.74,896.90,1042.51,177.01,92.03,269.05,0.402,101.971,4.049,94.366,0.240,1.069,4.238,0.062,0.008,0.000,0.001,1035.223,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,72%,0%,11%,42%,0%,0%,33%,0%,24%,0%,0%,1%
Jul-18,2,54.43,45.57,66.986,0.269,0.004,2.137,0.012,0.736,0.751,0.442,0.372,0.456,89.249,7.144,3.94,94.40,17.4,1711.80,382.33,900.44,1024.42,192.58,93.61,286.19,0.373,101.877,4.206,94.536,0.221,1.069,4.055,0.098,0.002,0.000,0.000,1034.471,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,63%,0%,22%,94%,0%,0%,6%,0%,0%,0%,0%,0%
Feb-19,2,67.53,32.47,67.085,0.251,0.003,2.060,0.011,0.653,0.741,0.460,0.367,0.462,89.496,7.189,3.74,94.64,17.5,1682.20,393.27,907.18,1080.40,176.67,91.88,268.55,0.386,100.296,4.108,96.345,0.315,0.894,2.330,0.083,0.008,0.000,0.000,1022.128,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,0%,13%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Ene-14,1,22.17,77.83,66.747,0.345,0.004,2.462,0.019,0.771,0.581,0.507,0.234,0.337,90.112,6.522,3.80,93.84,17.5,1661.13,359.77,912.84,1116.74,158.80,84.75,243.55,0.380,102.008,4.442,93.622,0.228,1.142,4.965,0.023,0.000,0.000,0.000,1039.250,0%,18%,32%,0%,0%,0%,0%,47%,0%,0%,0%,0%,2%,0%,0%,29%,19%,0%,0%,0%,52%,0%
Mar-18,2,52.71,47.29,66.551,0.212,0.004,2.289,0.014,0.893,0.890,0.489,0.389,0.452,89.201,6.731,3.84,95.05,17.8,1649.18,395.15,901.30,1030.58,181.16,91.72,272.89,0.378,103.890,4.441,94.719,0.234,1.049,3.857,0.120,0.004,0.000,0.001,1032.484,5%,0%,0%,0%,0%,19%,0%,0%,0%,0%,71%,0%,5%,63%,0%,0%,37%,0%,0%,0%,0%,0%
Oct-17,2,56.55,43.45,66.528,0.350,0.003,2.419,0.012,0.870,0.680,0.489,0.285,0.369,89.511,6.971,3.92,94.89,18.4,1682.73,371.44,911.62,1046.56,188.13,91.60,279.74,0.365,101.592,4.146,94.356,0.241,1.095,4.238,0.054,0.001,0.000,0.000,1034.572,4%,0%,0%,0%,0%,38%,0%,0%,0%,0%,52%,0%,7%,70%,0%,0%,26%,0%,4%,0%,0%,0%
Jun-18,2,54.28,45.72,66.940,0.247,0.005,2.184,0.012,0.741,0.721,0.459,0.347,0.439,88.721,7.006,3.73,94.00,18.6,1700.60,384.09,900.41,1024.02,189.80,93.43,283.23,0.360,103.836,4.386,94.546,0.218,1.015,4.100,0.092,0.005,0.000,0.001,1035.522,18%,0%,0%,0%,0%,1%,0%,0%,0%,0%,79%,0%,2%,86%,0%,0%,14%,0%,0%,0%,0%,0%
